鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
桃園區,建物,桃園市桃園區民生路481~510號,0.0,商,,,1041120,土地0建物1車位0,見使用執照,14,店面(店鋪),商業用,鋼筋混凝土造,0861020,163.79,2,2,2,有,有,無,21500,131,,0.0,0,,RPPQMLMJKIKFFAH87CC
桃園區,建物,桃園市桃園區長春路151~180號,0.0,住,,,1041123,土地0建物1車位0,一層,7,店面(店鋪),見其他登記事項,鋼筋混凝土造,0800124,241.4,0,0,0,無,有,無,22000,91,,0.0,0,,RPQQMLMJKIKFFAH97CC
桃園區,建物,桃園市桃園區秀山路121~150號,0.0,,,,1041203,土地0建物1車位0,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850202,132.0,4,2,2,有,無,無,14000,106,,0.0,0,,RPXPMLNJKIKFFAH68CC
八德區,房地(土地+建物)+車位,桃園市八德區仁德二路1~30號,20.08,住,,,1041103,土地1建物1車位1,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020823,136.34,2,1,1,有,有,無,13000,0,坡道平面,38.87,0,,RPQNMLNJKIKFFFH38DC
八德區,房地(土地+建物)+車位,桃園市八德區建德路241~270號,15.25,商,,,1041101,土地1建物1車位1,七層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031006,139.42000000000002,2,2,1,有,無,有,11000,79,坡道平面,0.0,0,,RPWOMLNJKIKFFFH09DC
八德區,房地(土地+建物)+車位,桃園市八德區豐德路211~240號,19.93,住,,,1041103,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030819,117.58,2,2,1,有,有,無,12000,102,坡道平面,0.0,0,,RPXOMLNJKIKFFFH56DC
八德區,房地(土地+建物)+車位,桃園市八德區建德路241~270號,22.86,商,,,1041125,土地1建物1車位1,四層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031006,189.68,3,2,2,有,有,有,15000,79,坡道平面,33.07,0,,RPTNMLOJKIKFFFH88EC
中壢區,房地(土地+建物),桃園市中壢區環北路331~360號,11.02,住,,,1041126,土地1建物1車位0,六層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980629,96.67,2,2,2,有,有,有,23000,238,,0.0,0,,RPTNMLOJKIKFFBH38DC
桃園區,房地(土地+建物)+車位,桃園市桃園區中正路901~930號,27.3,其他,,,1041112,土地1建物1車位1,八層,12,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0810731,175.08,0,0,0,無,有,無,33000,188,坡道平面,0.0,0,,RPTNMLOJKIKFFAH18CC
中壢區,建物,桃園市中壢區長興街1~30號,0.0,住,,,1041123,土地0建物1車位1,六層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011128,128.91,2,2,2,有,有,有,16125,125,坡道平面,0.0,0,,RPPPMLOJKIKFFBH08CC
中壢區,房地(土地+建物),桃園市中壢區榮民南路31~60號,127.34,農,,,1041127,土地2建物1車位0,全,2,透天厝,住家用,加強磚造,0661001,127.08,3,2,2,有,無,無,20000,157,,0.0,0,,RPSOMLRJKIKFFBH58CC
